name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat,long
Fort Lauderdale Florida Temple,"Davie, Florida, United States",OPERATING,4 May 2014,4007348,fort-lauderdale-florida-temple,Davie,Florida,United States,"May 4, 2014",NA,FALSE,Fort Lauderdale  ,26.07441465,-80.28402569275804
Fortaleza Brazil Temple,"Fortaleza, Ceara, Brazil",OPERATING,2 June 2019,4007351,fortaleza-brazil-temple,Fortaleza,Ceara,Brazil,"June 2, 2019",NA,FALSE,Fortaleza Brazil ,-3.7304512,-38.5217989
Sapporo Japan Temple,"Atsubetsu-ku Sapporo, Hokkaido, Japan",OPERATING,21 August 2016,4007350,sapporo-japan-temple,Atsubetsu-ku Sapporo,Hokkaido,Japan,"August 21, 2016",NA,FALSE,Sapporo Japan ,NA,NA
Cebu City Philippines Temple,"Cebu City, Cebu, Philippines",OPERATING,13 June 2010,77199,cebu-city-philippines-temple,Cebu City,Cebu,Philippines,"June 13, 2010",NA,FALSE,Cebu City Philippines ,10.2977029,123.8990986
Concepción Chile Temple,"Concepcion, Chile",OPERATING,28 October 2018,4007347,concepcion-chile-temple,Concepcion,,Chile,"October 28, 2018",NA,TRUE,Concepción Chile ,-36.8270795,-73.0502399
Palmyra New York Temple,"Palmyra, New York, United States",OPERATING,6 April 2000,37774,palmyra-new-york-temple,Palmyra,New York,United States,"April 6, 2000",NA,FALSE,Palmyra  ,43.0623754,-77.2347245
Oquirrh Mountain Utah Temple,"South Jordan, Utah, United States",OPERATING,21 August 2009,77200,oquirrh-mountain-utah-temple,South Jordan,Utah,United States,"August 21, 2009",NA,FALSE,Oquirrh Mountain  ,40.5584882,-111.9367107
Pocatello Idaho Temple,"Pocatello, Idaho, United States",OPERATING,7 November 2021,4098474,pocatello-idaho-temple,Pocatello,Idaho,United States,"November 7, 2021",NA,FALSE,Pocatello  ,42.8620287,-112.450627
Saratoga Springs Utah Temple,"Saratoga Springs, Utah, United States",OPERATING,13 August 2023,4098475,saratoga-springs-utah-temple,Saratoga Springs,Utah,United States,"August 13, 2023",NA,FALSE,Saratoga Springs  ,40.3862792,-111.9130188
Alabang Philippines Temple,Philippines,CONSTRUCTION,Construction,4098472,alabang-philippines-temple,Manila,,Filippyne,,NA,TRUE,Alabang Philippines ,14.5906346,120.9799964
Modesto California Temple,"California, United States",CONSTRUCTION,Construction,4148136,modesto-california-temple,Modesto,California,United States,,NA,TRUE,Modesto  ,37.6390972,-120.9968782
Nairobi Kenya Temple,"Nairobi, Kenya",CONSTRUCTION,Construction,4098473,nairobi-kenya-temple,Nairobi,,Kenya,,NA,TRUE,Nairobi Kenya ,-1.30261485,36.82884201813725
Montpelier Idaho Temple,"Idaho, United States",CONSTRUCTION,Construction,4148135,montpelier-idaho-temple,Montpelier,Idaho,United States,,NA,TRUE,Montpelier  ,42.3221498,-111.2977044
Brasília Brazil Temple,"Brasilia, Brazil",OPERATING,17 September 2023,4098471,brasilia-brazil-temple,Brasilia,,Brazil,"September 17, 2023",NA,TRUE,Brasília Brazil ,-15.7934036,-47.8823172
Missoula Montana Temple,"Montana, United States",ANNOUNCED,Announced,4148134,missoula-montana-temple,Missoula,Montana,United States,,NA,TRUE,Missoula  ,46.8701049,-113.995267
Adelaide Australia Temple,"Marden, South Australia, Australia",OPERATING,15 June 2000,38298,adelaide-australia-temple,Marden,South Australia,Australia,"June 15, 2000",NA,FALSE,Adelaide Australia ,-34.8925643,138.6347392
Austin Texas Temple,"Texas, United States",ANNOUNCED,Announced,4148133,austin-texas-temple,Austin,Texas,United States,,NA,TRUE,Austin  ,30.2711286,-97.7436995
Wichita Kansas Temple,"Kansas, United States",ANNOUNCED,Announced,4148132,wichita-kansas-temple,Wichita,Kansas,United States,,NA,TRUE,Wichita  ,37.6922361,-97.3375448
Cleveland Ohio Temple,"Ohio, United States",ANNOUNCED,Announced,4148131,cleveland-ohio-temple,Cleveland,Ohio,United States,,NA,TRUE,Cleveland  ,41.4996574,-81.6936772
Knoxville Tennessee Temple,"Tennessee, United States",ANNOUNCED,Announced,4148130,knoxville-tennessee-temple,Knoxville,Tennessee,United States,,NA,TRUE,Knoxville  ,35.9603948,-83.9210261
Tampa Florida Temple,"Florida, United States",ANNOUNCED,Announced,4148129,tampa-florida-temple,Tampa,Florida,United States,,NA,TRUE,Tampa  ,27.9477595,-82.458444
Tucson Arizona Temple,"Tucson, Arizona, United States",OPERATING,13 August 2017,4017571,tucson-arizona-temple,Tucson,Arizona,United States,"August 13, 2017",NA,FALSE,Tucson  ,32.2228765,-110.974847
Arequipa Peru Temple,"Arequipa, Peru",OPERATING,15 December 2019,4017570,arequipa-peru-temple,Arequipa,,Peru,"December 15, 2019",NA,TRUE,Arequipa Peru ,-16.3988667,-71.5369607
Mexico City Benemérito Mexico Temple,Mexico,ANNOUNCED,Announced,4148128,mexico-city-benemerito-mexico-temple,,,cote d'ivoire,,cote d'ivoire,TRUE,Mexico City Benemérito Mexico ,7.9897371,-5.5679458
San Luis Potosí Mexico Temple,Mexico,ANNOUNCED,Announced,4148127,san-luis-potosi-mexico-temple,,,mexico,,mexico,TRUE,San Luis Potosí Mexico ,23.6585116,-102.0077097
Santos Brazil Temple,Brazil,ANNOUNCED,Announced,4148126,santos-brazil-temple,,,brazil,,brazil,TRUE,Santos Brazil ,-10.3333333,-53.2
Maceió Brazil Temple,Brazil,ANNOUNCED,Announced,4148125,maceio-brazil-temple,,,brazil,,brazil,TRUE,Maceió Brazil ,-10.3333333,-53.2
Cusco Peru Temple,Peru,ANNOUNCED,Announced,4148124,cusco-peru-temple,,,peru,,peru,TRUE,Cusco Peru ,-6.8699697,-75.0458515
Shanghai People’s Republic of China Temple,China,ANNOUNCED,Announced,4130716,shanghai-people’s-republic-of-china-temple,,,republic of the congo,,republic of the congo,TRUE,Shanghai People’s Republic of China ,-0.7264327,15.6419155
Birmingham England Temple,United Kingdom,ANNOUNCED,Announced,4148123,birmingham-england-temple,,,england,,england,TRUE,Birmingham England ,NA,NA
Dubai United Arab Emirates Temple,United Arab Emirates,ANNOUNCED,Announced,4130715,dubai-united-arab-emirates-temple,,,united states,,united states,TRUE,Dubai United Arab Emirates ,39.7837304,-100.445882
Barcelona Spain Temple,Spain,ANNOUNCED,Announced,4148122,barcelona-spain-temple,,,spain,,spain,TRUE,Barcelona Spain ,39.3260685,-4.8379791
Benin City Nigeria Temple,Nigeria,ANNOUNCED,Announced,4130714,benin-city-nigeria-temple,,,nigeria,,nigeria,TRUE,Benin City Nigeria ,9.6000359,7.9999721
Brazzaville Republic of the Congo Temple,Republic of the Congo,ANNOUNCED,Announced,4148121,brazzaville-republic-of-the-congo-temple,,,republic of the congo,,republic of the congo,TRUE,Brazzaville Republic of the Congo ,-0.7264327,15.6419155
Pittsburgh Pennsylvania Temple,"Cranberry Township, Pennsylvania, United States",CONSTRUCTION,Construction,4130713,pittsburgh-pennsylvania-temple,Cranberry Township,Pennsylvania,United States,,NA,FALSE,Pittsburgh  ,40.7099343,-80.1060506
Lubumbashi Democratic Republic of the Congo Temple,Democratic Republic of the Congo,CONSTRUCTION,Construction,4130712,lubumbashi-democratic-republic-of-the-congo-temple,,,republic of the congo,,republic of the congo,TRUE,Lubumbashi Democratic Republic of the Congo ,-0.7264327,15.6419155
Wellington New Zealand Temple,New Zealand,ANNOUNCED,Announced,4148120,wellington-new-zealand-temple,,,new zealand,,new zealand,TRUE,Wellington New Zealand ,-41.5000831,172.8344077
Tallahassee Florida Temple,"Tallahassee, Florida, United States",CONSTRUCTION,Construction,4130711,tallahassee-florida-temple,Tallahassee,Florida,United States,,NA,FALSE,Tallahassee  ,30.4380832,-84.2809332
Bahía Blanca Argentina Temple,Argentina,CONSTRUCTION,Construction,4130710,bahia-blanca-argentina-temple,,,argentina,,argentina,TRUE,Bahía Blanca Argentina ,-34.9964963,-64.9672817
Ulaanbaatar Mongolia Temple,Mongolia,ANNOUNCED,Announced,4160404,ulaanbaatar-mongolia-temple,,,mongolia,,mongolia,TRUE,Ulaanbaatar Mongolia ,46.8250388,103.8499736
Vancouver Washington Temple,"Washington, United States",ANNOUNCED,Announced,4160403,vancouver-washington-temple,Vancouver,Washington,United States,,NA,TRUE,Vancouver  ,45.6306954,-122.6744557
Fairbanks Alaska Temple,"Alaska, United States",ANNOUNCED,Announced,4160402,fairbanks-alaska-temple,Fairbanks,Alaska,United States,,NA,TRUE,Fairbanks  ,64.837845,-147.716675
Kahului Hawaii Temple,"Hawaii, United States",ANNOUNCED,Announced,4160401,kahului-hawaii-temple,Kahului,Hawaii,United States,,NA,TRUE,Kahului  ,20.8894101,-156.4727118
Roanoke Virginia Temple,"Virginia, United States",ANNOUNCED,Announced,4160400,roanoke-virginia-temple,Roanoke,Virginia,United States,,NA,TRUE,Roanoke  ,37.270973,-79.9414313
Tulsa Oklahoma Temple,"Oklahoma, United States",ANNOUNCED,Announced,4160399,tulsa-oklahoma-temple,Tulsa,Oklahoma,United States,,NA,TRUE,Tulsa  ,36.1563122,-95.9927516
Colorado Springs Colorado Temple,"Colorado, United States",ANNOUNCED,Announced,4160398,colorado-springs-colorado-temple,Springs Colorado,Colorado,United States,,NA,TRUE, Springs Colorado ,38.8339578,-104.825348
Osaka Japan Temple,Japan,ANNOUNCED,Announced,4160397,osaka-japan-temple,,,japan,,japan,TRUE,Osaka Japan ,36.5748441,139.2394179
Laoag Philippines Temple,Philippines,ANNOUNCED,Announced,4160396,laoag-philippines-temple,,,philippines,,philippines,TRUE,Laoag Philippines ,12.7503486,122.7312101
Mbuji-Mayi Democratic Republic of the Congo Temple,Democratic Republic of the Congo,ANNOUNCED,Announced,4160395,mbuji-mayi-democratic-republic-of-the-congo-temple,,,republic of the congo,,republic of the congo,TRUE,Mbuji-Mayi Democratic Republic of the Congo ,-0.7264327,15.6419155
Luanda Angola Temple,Angola,ANNOUNCED,Announced,4160394,luanda-angola-temple,,,angola,,angola,TRUE,Luanda Angola ,-11.8775768,17.5691241
Cape Coast Ghana Temple,Ghana,ANNOUNCED,Announced,4160393,cape-coast-ghana-temple,,,botswana,,botswana,TRUE,Cape Coast Ghana ,-23.1681782,24.5928742
Calabar Nigeria Temple,Nigeria,ANNOUNCED,Announced,4160392,calabar-nigeria-temple,,,nigeria,,nigeria,TRUE,Calabar Nigeria ,9.6000359,7.9999721
João Pessoa Brazil Temple,Brazil,ANNOUNCED,Announced,4160391,joao-pessoa-brazil-temple,,,brazil,,brazil,TRUE,João Pessoa Brazil ,-10.3333333,-53.2
Star Valley Wyoming Temple,"Afton, Wyoming, United States",OPERATING,30 October 2016,4012421,star-valley-wyoming-temple,Afton,Wyoming,United States,"October 30, 2016",NA,FALSE,Star Valley  ,42.7252774,-110.933402
Barranquilla Colombia Temple,"Barranquilla, Colombia",OPERATING,9 December 2018,4012420,barranquilla-colombia-temple,Barranquilla,,Colombia,"December 9, 2018",NA,TRUE,Barranquilla Colombia ,10.9938698,-74.7927177
Goiãnia Brazil Temple,Brazil,ANNOUNCED,Announced,4160390,goiania-brazil-temple,,,brazil,,brazil,TRUE,Goiãnia Brazil ,-10.3333333,-53.2
Heber Valley Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4142982,heber-valley-utah-temple,Heber Valley,Utah,United States,,NA,TRUE,Heber Valley  ,NA,NA
Russia Temple,Location is not available,ANNOUNCED,Announced,4108676,russia-temple,,,russia,,russia,TRUE,Russia ,64.6863136,97.7453061
Teton River Idaho Temple,"Idaho, United States",ANNOUNCED,Announced,4142981,teton-river-idaho-temple,Teton River,Idaho,United States,,NA,TRUE,Teton River  ,43.7648921,-111.2035833
Viña del Mar Chile Temple,Chile,ANNOUNCED,Announced,4160389,vina-del-mar-chile-temple,,,chile,,chile,TRUE,Viña del Mar Chile ,-31.7613365,-71.3187697
Cody Wyoming Temple,"Wyoming, United States",ANNOUNCED,Announced,4142980,cody-wyoming-temple,Cody,Wyoming,United States,,NA,TRUE,Cody  ,44.5263107,-109.056392
Huancayo Peru Temple,Peru,ANNOUNCED,Announced,4160388,huancayo-peru-temple,,,peru,,peru,TRUE,Huancayo Peru ,-6.8699697,-75.0458515
Fort Worth Texas Temple,"Texas, United States",ANNOUNCED,Announced,4142979,fort-worth-texas-temple,Fort Worth,Texas,United States,,NA,TRUE,Fort Worth  ,32.753177,-97.3327459
Layton Utah Temple,"Layton, Utah, United States",CONSTRUCTION,Construction,4108674,layton-utah-temple,Layton,Utah,United States,,NA,FALSE,Layton  ,41.0751048,-111.9741925
Paris France Temple,"Le Chesnay, France",OPERATING,21 May 2017,4012417,paris-france-temple,Le Chesnay,,France,"May 21, 2017",NA,TRUE,Paris France ,48.8264842,2.1257808
Piura Peru Temple,Peru,ANNOUNCED,Announced,4160387,piura-peru-temple,,,peru,,peru,TRUE,Piura Peru ,-6.8699697,-75.0458515
Cancún Mexico Temple,Mexico,ANNOUNCED,Announced,4160386,cancun-mexico-temple,,,mexico,,mexico,TRUE,Cancún Mexico ,23.6585116,-102.0077097
Provo City Center Temple,"Provo, Utah, United States",OPERATING,20 March 2016,4012416,provo-city-center-temple,Provo,Utah,United States,"March 20, 2016",NA,FALSE,Provo City Center ,40.2337289,-111.6587085
Richmond Virginia Temple,"Glen Allen, Virginia, United States",OPERATING,7 May 2023,4108675,richmond-virginia-temple,Glen Allen,Virginia,United States,"May 7, 2023",NA,FALSE,Richmond  ,37.6659781,-77.506374
Santiago West Chile Temple,Chile,ANNOUNCED,Announced,4142978,santiago-west-chile-temple,,,chile,,chile,TRUE,Santiago West Chile ,-31.7613365,-71.3187697
Syracuse Utah Temple,"Syracuse, Utah, United States",CONSTRUCTION,Construction,4130690,syracuse-utah-temple,Syracuse,Utah,United States,,NA,FALSE,Syracuse  ,41.0895938,-112.0638903
Durban South Africa Temple,"Durban, South Africa",OPERATING,16 February 2020,4012419,durban-south-africa-temple,Durban,,South Africa,"February 16, 2020",NA,TRUE,Durban South Africa ,-29.861825,31.009909
La Paz Bolivia Temple,Bolivia,ANNOUNCED,Announced,4142977,la-paz-bolivia-temple,,,bolivia,,bolivia,TRUE,La Paz Bolivia ,-17.0568696,-64.9912286
Managua Nicaragua Temple,Nicaragua,CONSTRUCTION,Construction,4108672,managua-nicaragua-temple,,,nicaragua,,nicaragua,TRUE,Managua Nicaragua ,12.6090157,-85.2936911
Payson Utah Temple,"Payson, Utah, United States",OPERATING,7 June 2015,4007811,payson-utah-temple,Payson,Utah,United States,"June 7, 2015",NA,FALSE,Payson  ,40.0443989,-111.7321518
Savai’i Samoa Temple,Location Not Available,ANNOUNCED,Announced,4160385,savai’i-samoa-temple,,,samoa,,samoa,TRUE,Savai’i Samoa ,-13.7693895,-172.12005
Smithfield Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4138369,smithfield-utah-temple,Smithfield,Utah,United States,,NA,TRUE,Smithfield  ,41.838429,-111.832804
Cagayan de Oro Philippines Temple,Philippines,ANNOUNCED,Announced,4108673,cagayan-de-oro-philippines-temple,,,philippines,,philippines,TRUE,Cagayan de Oro Philippines ,12.7503486,122.7312101
Kinshasa Democratic Republic of the Congo Temple,"Kinshasa, Democratic Republic of the Congo",OPERATING,14 April 2019,4012418,kinshasa-democratic-republic-of-the-congo-temple,Kinshasa,,Democratic Republic of the Congo,"April 14, 2019",NA,TRUE,Kinshasa Democratic Republic of the Congo ,-4.3217055,15.3125974
Rexburg Idaho Temple,"Rexburg, Idaho, United States",OPERATING,10 February 2008,72126,rexburg-idaho-temple,Rexburg,Idaho,United States,"February 10, 2008",NA,FALSE,Rexburg  ,43.8235163,-111.787022
Vitória Brazil Temple,Brazil,ANNOUNCED,Announced,4142976,vitoria-brazil-temple,,,brazil,,brazil,TRUE,Vitória Brazil ,-10.3333333,-53.2
Yorba Linda California Temple,"California, United States",CONSTRUCTION,Construction,4138368,yorba-linda-california-temple,Yorba Linda,California,United States,,NA,TRUE,Yorba Linda  ,33.8901096,-117.8249705
San Juan Puerto Rico Temple,"San Juan, Puerto Rico",OPERATING,15 January 2023,4114420,san-juan-puerto-rico-temple,San Juan,,Puerto Rico,"January 15, 2023",NA,TRUE,San Juan Puerto Rico ,NA,NA
Oaxaca Mexico Temple,"Oaxaca, Oaxaca, Mexico",OPERATING,11 March 2000,37835,oaxaca-mexico-temple,Oaxaca,Oaxaca,Mexico,"March 11, 2000",NA,FALSE,Oaxaca Mexico ,17.0604663,-96.7253575
Red Cliffs Utah Temple,"St. George, Utah, United States",CONSTRUCTION,Construction,4114421,red-cliffs-utah-temple,St. George,Utah,United States,,NA,FALSE,Red Cliffs  ,37.104153,-113.5841313
Lagos Nigeria Temple,Nigeria,ANNOUNCED,Announced,4114418,lagos-nigeria-temple,,,nigeria,,nigeria,TRUE,Lagos Nigeria ,9.6000359,7.9999721
Davao Philippines Temple,"Davao, Philippines",CONSTRUCTION,Construction,4114419,davao-philippines-temple,Davao,,Philippines,,NA,TRUE,Davao Philippines ,7.0648306,125.6080623
Puebla Mexico Temple,"Puebla, Puebla, Mexico",CONSTRUCTION,Construction,4114416,puebla-mexico-temple,Puebla,Puebla,Mexico,,NA,FALSE,Puebla Mexico ,19.0437196,-98.1981486
Auckland New Zealand Temple,"Auckland, New Zealand",CONSTRUCTION,Construction,4114417,auckland-new-zealand-temple,Auckland,,New Zealand,,NA,TRUE,Auckland New Zealand ,-36.852095,174.7631803
Praia Cape Verde Temple,"Praia, Cape Verde",OPERATING,19 June 2022,4114414,praia-cape-verde-temple,Praia,,Cape Verde,"June 19, 2022",NA,TRUE,Praia Cape Verde ,14.9162811,-23.5095095
Ephraim Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4138990,ephraim-utah-temple,Ephraim,Utah,United States,,NA,TRUE,Ephraim  ,39.3596842,-111.586305
Yigo Guam Temple,"Yigo, Guam",OPERATING,22 May 2022,4114415,yigo-guam-temple,Yigo,,Guam,"May 22, 2022",NA,TRUE,Yigo Guam ,NA,NA
Feather River California Temple,"Yuba City, California, United States",OPERATING,8 October 2023,4114412,feather-river-california-temple,Yuba City,California,United States,"October 8, 2023",NA,FALSE,Feather River  ,39.1404477,-121.6169108
Phnom Penh Cambodia Temple,"Phnom Penh, Cambodia",CONSTRUCTION,Construction,4114413,phnom-penh-cambodia-temple,Phnom Penh,,Cambodia,,NA,TRUE,Phnom Penh Cambodia ,11.568271,104.9224426
Mendoza Argentina Temple,"Mendoza, Argentina",CONSTRUCTION,Construction,4114410,mendoza-argentina-temple,Mendoza,,Argentina,,NA,TRUE,Mendoza Argentina ,-32.8894155,-68.8446177
Salvador Brazil Temple,"Salvador Bahia, Brazil",CONSTRUCTION,Construction,4114411,salvador-brazil-temple,Salvador Bahia,,Brazil,,NA,TRUE,Salvador Brazil ,-12.9822499,-38.4812772
Tula Mexico Temple,Mexico,ANNOUNCED,Announced,4153320,tula-mexico-temple,,,mexico,,mexico,TRUE,Tula Mexico ,23.6585116,-102.0077097
Toluca Mexico Temple,Mexico,ANNOUNCED,Announced,4153319,toluca-mexico-temple,,,mexico,,mexico,TRUE,Toluca Mexico ,23.6585116,-102.0077097
Pachuca Mexico Temple,Mexico,ANNOUNCED,Announced,4153318,pachuca-mexico-temple,,,mexico,,mexico,TRUE,Pachuca Mexico ,23.6585116,-102.0077097
Cuernavaca Mexico Temple,Mexico,ANNOUNCED,Announced,4153317,cuernavaca-mexico-temple,,,mexico,,mexico,TRUE,Cuernavaca Mexico ,23.6585116,-102.0077097
Tacoma Washington Temple,"Washington, United States",ANNOUNCED,Announced,4153316,tacoma-washington-temple,Tacoma,Washington,United States,,NA,TRUE,Tacoma  ,47.2455013,-122.438329
Lone Mountain Nevada Temple,"Nevada, United States",ANNOUNCED,Announced,4153315,lone-mountain-nevada-temple,Lone Mountain,Nevada,United States,,NA,TRUE,Lone Mountain  ,36.2386582,-115.3148492
Prosper Texas Temple,"Texas, United States",ANNOUNCED,Announced,4153314,prosper-texas-temple,Prosper,Texas,United States,,NA,TRUE,Prosper  ,33.2385763,-96.7866058
Grand Rapids Michigan Temple,"Michigan, United States",ANNOUNCED,Announced,4153313,grand-rapids-michigan-temple,Grand Rapids,Michigan,United States,,NA,TRUE,Grand Rapids  ,42.9632425,-85.6678639
Jacksonville Florida Temple,"Florida, United States",ANNOUNCED,Announced,4153312,jacksonville-florida-temple,Jacksonville,Florida,United States,,NA,TRUE,Jacksonville  ,30.3321838,-81.655651
Huehuetenango Guatemala Temple,Guatemala,ANNOUNCED,Announced,4153311,huehuetenango-guatemala-temple,,,guatemala,,guatemala,TRUE,Huehuetenango Guatemala ,15.5855545,-90.345759
Ribeirão Prêto Brazil Temple,Brazil,ANNOUNCED,Announced,4153310,ribeirao-preto-brazil-temple,,,brazil,,brazil,TRUE,Ribeirão Prêto Brazil ,-10.3333333,-53.2
Londrina Brazil Temple,Brazil,ANNOUNCED,Announced,4153309,londrina-brazil-temple,,,brazil,,brazil,TRUE,Londrina Brazil ,-10.3333333,-53.2
Buenos Aires City Center Argentina Temple,Argentina,ANNOUNCED,Announced,4153308,buenos-aires-city-center-argentina-temple,,,argentina,,argentina,TRUE,Buenos Aires City Center Argentina ,-34.9964963,-64.9672817
Chiclayo Peru Temple,Peru,ANNOUNCED,Announced,4153307,chiclayo-peru-temple,,,peru,,peru,TRUE,Chiclayo Peru ,-6.8699697,-75.0458515
Eket Nigeria Temple,Nigeria,ANNOUNCED,Announced,4153306,eket-nigeria-temple,,,nigeria,,nigeria,TRUE,Eket Nigeria ,9.6000359,7.9999721
Santiago Philippines Temple,Philippines,ANNOUNCED,Announced,4153305,santiago-philippines-temple,,,philippines,,philippines,TRUE,Santiago Philippines ,12.7503486,122.7312101
Naga Philippines Temple,Philippines,ANNOUNCED,Announced,4153304,naga-philippines-temple,,,philippines,,philippines,TRUE,Naga Philippines ,12.7503486,122.7312101
Busan Korea Temple,South Korea,ANNOUNCED,Announced,4153303,busan-korea-temple,,,korea,,korea,TRUE,Busan Korea ,36.638392,127.6961188
Louisville Kentucky Temple,"Crestwood, Kentucky, United States",OPERATING,19 March 2000,38376,louisville-kentucky-temple,Crestwood,Kentucky,United States,"March 19, 2000",NA,FALSE,Louisville  ,38.3235441,-85.4726215
Medford Oregon Temple,"Central Point, Oregon, United States",OPERATING,16 April 2000,38377,medford-oregon-temple,Central Point,Oregon,United States,"April 16, 2000",NA,FALSE,Medford  ,42.376782,-122.912721
Fresno California Temple,"Fresno, California, United States",OPERATING,9 April 2000,37354,fresno-california-temple,Fresno,California,United States,"April 9, 2000",NA,FALSE,Fresno  ,36.7295295,-119.70886126075588
Oklahoma City Oklahoma Temple,"Yukon, Oklahoma, United States",OPERATING,30 July 2000,38378,oklahoma-city-oklahoma-temple,Yukon,Oklahoma,United States,"July 30, 2000",NA,FALSE, City Oklahoma ,35.5067259,-97.7625386
Copenhagen Denmark Temple,"Frederiksberg, Hovedstaden, Denmark",OPERATING,23 May 2004,38397,copenhagen-denmark-temple,Frederiksberg,Hovedstaden,Denmark,"May 23, 2004",NA,FALSE,Copenhagen Denmark ,55.678016,12.5326186
San José Costa Rica Temple,"Belén, Heredia, Costa Rica",OPERATING,4 June 2000,38398,san-jose-costa-rica-temple,Belén,Heredia,Costa Rica,"June 4, 2000",NA,FALSE,San José Costa Rica ,9.9795545,-84.1852459
